日期	委托时间	标的	交易类型	下单类型	成交数量	成交价	成交额	平仓盈亏	手续费

									
2020-01-02	09:35:00	深证100ETF易方达(159901.XSHE)	买	市价单	9500股	5.239	49,770.50	0.00	9.95
 	 	 	 	 	 	 	 	 	 
2020-01-03	09:35:00	深证100ETF易方达(159901.XSHE)	卖	市价单	-9500股	5.319	-50,530.50	760.00	10.11
2020-01-03	09:35:00	红利ETF工银(159905.XSHE)	买	市价单	23800股	2.097	49,908.60	0.00	9.98
 	 	 	 	 	 	 	 	 	 
2020-01-06	09:35:00	红利ETF工银(159905.XSHE)	卖	市价单	-23800股	2.06	-49,028.00	-880.60	9.81
2020-01-06	09:35:00	深证100ETF易方达(159901.XSHE)	买	市价单	9400股	5.25	49,350.00	0.00	9.87
 	 	 	 	 	 	 	 	 	 
2020-01-07	09:35:00	深证100ETF易方达(159901.XSHE)	卖	市价单	-9400股	5.304	-49,857.60	507.60	9.97
2020-01-07	09:35:00	中小100ETF华夏(159902.XSHE)	买	市价单	14700股	3.392	49,862.40	0.00	9.97
 	 	 	 	 	 	 	 	 	 
2020-01-23	09:35:00	中小100ETF华夏(159902.XSHE)	卖	市价单	-14700股	3.539	-52,023.30	2,160.90	10.40
2020-01-23	09:35:00	创业板ETF易方达(159915.XSHE)	买	市价单	26200股	1.909	50,015.80	0.00	10.00
 	 	 	 	 	 	 	 	 	 
2020-02-06	09:35:00	创业板ETF易方达(159915.XSHE)	卖	市价单	-26200股	1.847	-48,391.40	-1,624.40	9.68
2020-02-06	09:35:00	医药ETF(159929.XSHE)	买	市价单	30200股	1.68	50,736.00	0.00	10.15
 	 	 	 	 	 	 	 	 	 
2020-02-14	09:35:00	医药ETF(159929.XSHE)	卖	市价单	-30200股	1.697	-51,249.40	513.40	10.25
2020-02-14	09:35:00	创业板ETF易方达(159915.XSHE)	买	市价单	25600股	1.991	50,969.60	0.00	10.19
 	 	 	 	 	 	 	 	 	 
2020-02-26	09:35:00	创业板ETF易方达(159915.XSHE)	卖	市价单	-25600股	2.164	-55,398.40	4,428.80	11.08
2020-02-26	09:35:00	中小100ETF华夏(159902.XSHE)	买	市价单	13400股	3.801	50,933.40	0.00	10.19
 	 	 	 	 	 	 	 	 	 
2020-02-28	09:35:00	中小100ETF华夏(159902.XSHE)	卖	市价单	-13400股	3.627	-48,601.80	-2,331.60	9.72
2020-02-28	09:35:00	创业板ETF易方达(159915.XSHE)	买	市价单	24800股	2.056	50,988.80	0.00	10.20
 	 	 	 	 	 	 	 	 	 
2020-03-09	09:35:00	创业板ETF易方达(159915.XSHE)	卖	市价单	-24800股	2.079	-51,559.20	570.40	10.31
2020-03-09	09:35:00	消费ETF(159928.XSHE)	买	市价单	16500股	3.137	51,760.50	0.00	10.35
 	 	 	 	 	 	 	 	 	 
2020-03-19	09:35:00	消费ETF(159928.XSHE)	卖	市价单	-16500股	2.83	-46,695.00	-5,065.50	9.34
 	 	 	 	 	 	 	 	 	 
2020-04-08	09:35:00	医药ETF(159929.XSHE)	买	市价单	28500股	1.711	48,763.50	0.00	9.75
 	 	 	 	 	 	 	 	 	 
